info: 2017/4/28 18:31:37.981 [MW]  sending: {"type":"ping","id":7259}
warn: 2017/4/28 18:31:41.517 [MW]  not handling user_typing
warn: 2017/4/28 18:31:44.733 [MW]  not handling user_typing
info: 2017/4/28 18:31:47.981 [MW]  sending: {"type":"ping","id":7260}
warn: 2017/4/28 18:31:51.135 [MW]  not handling user_typing
warn: 2017/4/28 18:31:54.308 [MW]  not handling user_typing
info: 2017/4/28 18:31:57.981 [MW]  sending: {"type":"ping","id":7261}
warn: 2017/4/28 18:31:58.257 [MW]  not handling user_typing
warn: 2017/4/28 18:32:01.319 [MW]  not handling user_typing
warn: 2017/4/28 18:32:04.773 [MW]  not handling user_typing
info: 2017/4/28 18:32:07.981 [MW]  sending: {"type":"ping","id":7262}
info: 2017/4/28 18:32:17.981 [MW]  sending: {"type":"ping","id":7263}
info: 2017/4/28 18:32:27.981 [MW]  sending: {"type":"ping","id":7264}
info: 2017/4/28 18:32:37.981 [MW]  sending: {"type":"ping","id":7265}
info: 2017/4/28 18:32:47.981 [MW]  calling users.badgeCount
info: 2017/4/28 18:32:47.982 [MW]  sending: {"type":"ping","id":7266}
info: [object Object]
info: 2017/4/28 18:32:48.400 [MW]  {"ok":true,"has_unreads":false,"has_mentions":false,"mention_count":0}
info: 2017/4/28 18:32:57.981 [MW]  sending: {"type":"ping","id":7267}
info: 2017/4/28 18:33:07.981 [MW]  sending: {"type":"ping","id":7268}
info: 2017/4/28 18:33:17.981 [MW]  sending: {"type":"ping","id":7269}
info: 2017/4/28 18:33:27.981 [MW]  sending: {"type":"ping","id":7270}
info: 2017/4/28 18:33:37.981 [MW]  sending: {"type":"ping","id":7271}
info: 2017/4/28 18:33:47.981 [MW]  sending: {"type":"ping","id":7272}
info: 2017/4/28 18:33:57.981 [MW]  sending: {"type":"ping","id":7273}
info: 2017/4/28 18:34:07.981 [MW]  sending: {"type":"ping","id":7274}
info: 2017/4/28 18:34:17.981 [MW]  sending: {"type":"ping","id":7275}
info: 2017/4/28 18:34:27.981 [MW]  sending: {"type":"ping","id":7276}
info: 2017/4/28 18:34:37.981 [MW]  sending: {"type":"ping","id":7277}
info: 2017/4/28 18:34:47.981 [MW]  calling users.badgeCount
info: 2017/4/28 18:34:47.982 [MW]  sending: {"type":"ping","id":7278}
info: [object Object]
info: 2017/4/28 18:34:48.361 [MW]  {"ok":true,"has_unreads":false,"has_mentions":false,"mention_count":0}
info: 2017/4/28 18:34:57.981 [MW]  sending: {"type":"ping","id":7279}
info: 2017/4/28 18:35:07.981 [MW]  sending: {"type":"ping","id":7280}
info: 2017/4/28 18:35:17.981 [MW]  sending: {"type":"ping","id":7281}
info: 2017/4/28 18:35:27.981 [MW]  sending: {"type":"ping","id":7282}
info: 2017/4/28 18:35:37.981 [MW]  sending: {"type":"ping","id":7283}
info: 2017/4/28 18:35:47.981 [MW]  sending: {"type":"ping","id":7284}
info: 2017/4/28 18:35:57.981 [MW]  sending: {"type":"ping","id":7285}
info: 2017/4/28 18:36:07.981 [MW]  sending: {"type":"ping","id":7286}
info: 2017/4/28 18:36:17.981 [MW]  sending: {"type":"ping","id":7287}
