VirtualBox XPCOM Server 5.1.14 r112924 linux.amd64 (Jan 16 2017 18:01:19) release log
00:00:00.000288 main     Log opened 2017-05-06T18:56:27.558517000Z
00:00:00.000290 main     Build Type: release
00:00:00.000292 main     OS Product: Linux
00:00:00.000293 main     OS Release: 4.10.0-20-generic
00:00:00.000294 main     OS Version: #22-Ubuntu SMP Thu Apr 20 09:22:42 UTC 2017
00:00:00.000315 main     DMI Product Name: MS-7693
00:00:00.000322 main     DMI Product Version: 4.0
00:00:00.000359 main     Host RAM: 32122MB (31.3GB) total, 25748MB (25.1GB) available
00:00:00.000362 main     Executable: /usr/lib/virtualbox/VBoxSVC
00:00:00.000363 main     Process ID: 32717
00:00:00.000363 main     Package type: LINUX_64BITS__UBUNTU_16_10
00:00:00.001794 main     IPC socket path: /tmp/.vbox-njovin-ipc/ipcd
00:00:00.104866 nspr-2   VirtualBox: object creation starts
00:00:00.104999 nspr-2   Home directory: '/home/njovin/.config/VirtualBox'
00:00:00.105369 nspr-2   Loading settings file "/home/njovin/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:00.109798 nspr-2   NetIfAdpCtlOut: VBoxNetAdpCtl: Error while retrieving link speed for wlp3s0: VBoxNetAdpCtl: ioctl failed: Operation not supported
00:00:00.117371 nspr-2   NAT: resolv.conf: nameserver 127.0.1.1
00:00:00.117402 nspr-2   HostDnsMonitor: old information
00:00:00.117409 nspr-2     no server entries
00:00:00.117414 nspr-2     no domain set
00:00:00.117419 nspr-2     no search string entries
00:00:00.117424 nspr-2   HostDnsMonitor: new information
00:00:00.117429 nspr-2     server 1: 127.0.1.1
00:00:00.117435 nspr-2     no domain set
00:00:00.117440 nspr-2     no search string entries
00:00:00.117448 nspr-2   HostDnsMonitorProxy::notify
00:00:00.124154 nspr-2   failed to create vboxnet0, error (0x80004005)
00:00:00.127806 nspr-2   failed to create vboxnet1, error (0x80004005)
00:00:00.128324 nspr-2   VD: VDInit finished
00:00:00.134831 nspr-2   Loading settings file "/home/njovin/VirtualBox VMs/homestead-7/homestead-7.vbox" with version "1.16-linux"
00:00:00.135741 nspr-2   Loading settings file "/home/njovin/VirtualBox VMs/devbox_default_1489127152657_75462/devbox_default_1489127152657_75462.vbox" with version "1.16-linux"
00:00:00.136484 nspr-2   Loading settings file "/home/njovin/VirtualBox VMs/devbox_default_1492575364979_65562/devbox_default_1492575364979_65562.vbox" with version "1.16-linux"
00:00:00.137224 nspr-2   VirtualBox: object created
00:00:00.158493 nspr-3   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={b2547866-a0a1-4391-8b86-6952d82efaa0} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 0 of controller 'IDE'}, preserve=false aResultDetail=0
00:00:00.158720 nspr-3   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={b2547866-a0a1-4391-8b86-6952d82efaa0} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 0 of controller 'IDE'}, preserve=false aResultDetail=0
00:00:00.158926 nspr-3   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={b2547866-a0a1-4391-8b86-6952d82efaa0} aComponent={SessionMachine} aText={No storage device attached to device slot 1 on port 0 of controller 'IDE'}, preserve=false aResultDetail=0
00:00:00.159128 nspr-3   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={b2547866-a0a1-4391-8b86-6952d82efaa0} aComponent={SessionMachine} aText={No storage device attached to device slot 1 on port 0 of controller 'IDE'}, preserve=false aResultDetail=0
00:00:00.159329 nspr-3   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={b2547866-a0a1-4391-8b86-6952d82efaa0} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 1 of controller 'IDE'}, preserve=false aResultDetail=0
